"product-card href","card-logo src","card-img src","card-model","card-desc","card-price","card-price 2","card-label"
"https://rentalsegye.com/product.php?no=11470&cid=1379&gid=1408","https://tlpartner.speedycdn.net/data/file/item_code/990098083_QmYlbwPv_logo_coway_391x100.png","https://tlpartner.speedycdn.net/data/file/item_product/thumb-238048536_oskpy3eD_63303_hJhQLwU3D4GZVFtEXeJAnA6A3YQ3pw_224x224.jpg","BAS25-B","[코웨이] 스스로케어 비데 리모트","22,400","0",""
"https://rentalsegye.com/product.php?no=30364&cid=1379&gid=1408","https://tlpartner.speedycdn.net/data/file/item_code/990098083_qZYoMiDH_logo_quming_325x100.png","https://tlpartner.speedycdn.net/data/file/item_product/thumb-2041760843_3agpSuye_ECA09CEBAAA9EC9D84_EC9E85EBA0A5ED95B4ECA3BCEC84B8EC9A94_-001_281229_224x224.png","HQBB100W1D","[현대큐밍] 더클린 화이트","16,900","0",""
"https://rentalsegye.com/product.php?no=11341&cid=1379&gid=1408","https://tlpartner.speedycdn.net/data/file/item_code/990098083_pRQd9fUT_logo_cuckoo_499x100.png","https://tlpartner.speedycdn.net/data/file/item_product/thumb-990093989_IiXSECeG_EBA994EC9DB8_1_224x224.png","CBT-IS1031W","[쿠쿠] 인스퓨어 전기분해 살균방수 비데","13,900","0",""
"https://rentalsegye.com/product.php?no=11342&cid=1379&gid=1408","https://tlpartner.speedycdn.net/data/file/item_code/990098083_pRQd9fUT_logo_cuckoo_499x100.png","https://tlpartner.speedycdn.net/data/file/item_product/thumb-990093989_nXAahtjs_EBA994EC9DB8_1_224x224.png","CBT-IS1031RW","[쿠쿠] 인스퓨어 전기분해 자동살균 비데","14,900","0",""
"https://rentalsegye.com/product.php?no=11343&cid=1379&gid=1408","https://tlpartner.speedycdn.net/data/file/item_code/990098083_pRQd9fUT_logo_cuckoo_499x100.png","https://tlpartner.speedycdn.net/data/file/item_product/thumb-990093989_id1BZrpM_EBA994EC9DB8_1_224x224.png","CBT-G3031W","[쿠쿠] 인스퓨어 이지필터 방수비데","12,900","0",""
"https://rentalsegye.com/product.php?no=11344&cid=1379&gid=1408","https://tlpartner.speedycdn.net/data/file/item_code/990098083_pRQd9fUT_logo_cuckoo_499x100.png","https://tlpartner.speedycdn.net/data/file/item_product/thumb-990093989_3C0NZnO2_EBA994EC9DB8_1_224x224.png","CBT-G1031W","[쿠쿠] 인스퓨어 이지필터 비데","8,900","0",""
"https://rentalsegye.com/product.php?no=11345&cid=1379&gid=1408","https://tlpartner.speedycdn.net/data/file/item_code/990098083_pRQd9fUT_logo_cuckoo_499x100.png","https://tlpartner.speedycdn.net/data/file/item_product/thumb-990093989_GX2QqJdS_EBA994EC9DB8_1_224x224.png","CBT-E1021W","[쿠쿠] 클렌비스 방수 비데","13,900","0",""
"https://rentalsegye.com/product.php?no=11426&cid=1379&gid=1408","https://tlpartner.speedycdn.net/data/file/item_code/990098083_3rUDe0nN_logo_chungho_525x100.png","https://tlpartner.speedycdn.net/data/file/item_product/thumb-3731255601_2FkvNYAo_EBA994EC9DB8_1_224x224.png","BD-35D51","[청호나이스] 에어버블 비데","13,900","0",""
"https://rentalsegye.com/product.php?no=11464&cid=1379&gid=1408","https://tlpartner.speedycdn.net/data/file/item_code/990098083_QmYlbwPv_logo_coway_391x100.png","https://tlpartner.speedycdn.net/data/file/item_product/thumb-238048536_AoNdvq9k_63299_vVzgcsh5zhhNltk9sTG6FkxRjwv6TU_224x224.jpg","BA36-B","[코웨이] 프라임 비데","16,560","0","타사보상"
"https://rentalsegye.com/product.php?no=18058&cid=1379&gid=1408","https://tlpartner.speedycdn.net/data/file/item_code/990098083_5cBVIkhs_logo_wells_357x100.png","https://tlpartner.speedycdn.net/data/file/item_product/thumb-238047395_NnzDBv7f_00847625592_224x224.png","BM750RWA","[웰스] 비데 자동살균","22,900","0","타사보상"
