"product-card href","card-logo src","card-img src","card-label","card-model","card-desc","card-price","card-price 2"
"https://www.rentalsegye.com/product.php?no=42272&cid=1377&gid=1424","https://tlpartner.speedycdn.net/data/file/item_code/990098083_RW3hHro1_logo_sk_194x100.png","https://tlpartner.speedycdn.net/data/file/item_product/990098305_DELZe3qm_ECA09CEBAAA9EC9D84_EC9E85EBA0A5ED95B4ECA3BCEC84B8EC9A94._283229.gif","반값할인","WPU-IAC414","[SK매직] 원코크 얼음물 직수얼음 정수기","39,400","13,400"
"https://www.rentalsegye.com/product.php?no=26139&cid=1377&gid=1424","https://tlpartner.speedycdn.net/data/file/item_code/990098083_QmYlbwPv_logo_coway_391x100.png","https://tlpartner.speedycdn.net/data/file/item_product/990098083_6Ln4frNF_CPI-7400N_V2_400x400.gif","반값할인","CPI-7400N","[코웨이] 아이콘 얼음정수기","37,260","7,260"
"https://www.rentalsegye.com/product.php?no=32208&cid=1377&gid=1424","https://tlpartner.speedycdn.net/data/file/item_code/990098083_3rUDe0nN_logo_chungho_525x100.png","https://tlpartner.speedycdn.net/data/file/item_product/990098083_DcYy5CdX_WI-36C90620N_400x400.gif","BEST","WI-36C90620N","[청호나이스] 얼음냉온정수기 뉴 아이스트리","39,900","9,900"
"https://www.rentalsegye.com/product.php?no=41298&cid=1377&gid=1424","https://tlpartner.speedycdn.net/data/file/item_code/990098083_QmYlbwPv_logo_coway_391x100.png","https://tlpartner.speedycdn.net/data/file/item_product/990098083_sBT4FvhY_CHP-7212N_400x400.gif","반값할인","CHP-7212N","[코웨이] 아이콘 프로","26,910","0"
"https://www.rentalsegye.com/product.php?no=42269&cid=1377&gid=1424","https://tlpartner.speedycdn.net/data/file/item_code/990098083_RW3hHro1_logo_sk_194x100.png","https://tlpartner.speedycdn.net/data/file/item_product/990098305_5sSZxIWG_WPU-JAC115S_480x480.gif","반값할인","WPU-JAC115","[SK매직] 초소형 플러스 직수 정수기","24,900","0"
"https://www.rentalsegye.com/product.php?no=47139&cid=1377&gid=1424","https://tlpartner.speedycdn.net/data/file/item_code/990098083_QmYlbwPv_logo_coway_391x100.png","https://tlpartner.speedycdn.net/data/file/item_product/990098305_6Vy2AgHc_ECA09CEBAAA9EC9D84-EC9E85EBA0A5ED95B4ECA3BCEC84B8EC9A94__281629.gif","반값할인","CHP-7220N","[코웨이] 아이콘 정수기3","26,010","0"
"https://www.rentalsegye.com/product.php?no=47810&cid=1377&gid=1424","https://tlpartner.speedycdn.net/data/file/item_code/990098083_3rUDe0nN_logo_chungho_525x100.png","https://tlpartner.speedycdn.net/data/file/item_product/thumb-990098305_YrmMFKQS_WI-37C90720N_EC8DB82_224x224.jpg","타사보상","WI-37C90720N","[청호나이스] 미니 얼음 냉온정수기 The M","36,900","6,900"
"https://www.rentalsegye.com/product.php?no=43137&cid=1377&gid=1424","https://tlpartner.speedycdn.net/data/file/item_code/990098083_QmYlbwPv_logo_coway_391x100.png","https://tlpartner.speedycdn.net/data/file/item_product/990098083_fEHZuyS3_CHPI-7430N_480x480.gif","반값할인","CHPI-7430N","[코웨이] 아이콘 얼음정수기 미니","38,610","8,610"
"https://www.rentalsegye.com/product.php?no=43140&cid=1377&gid=1424","https://tlpartner.speedycdn.net/data/file/item_code/990098083_QmYlbwPv_logo_coway_391x100.png","https://tlpartner.speedycdn.net/data/file/item_product/990098083_utPR8G3C_CHPI-7410N_480x480.gif","반값할인","CHPI-7410N","[코웨이] 아이콘 얼음정수기 스탠다드 (냉온정)","41,310","11,310"
"https://www.rentalsegye.com/product.php?no=43527&cid=1377&gid=1424","https://tlpartner.speedycdn.net/data/file/item_code/990098083_QmYlbwPv_logo_coway_391x100.png","https://tlpartner.speedycdn.net/data/file/item_product/990098083_dif9l8rb_ECA09CEBAAA9EC9D84-EC9E85EBA0A5ED95B4ECA3BCEC84B8EC9A94__281129.gif","반값할인","CHPI-7420N","[코웨이] 아이콘 얼음정수기 맥스","44,010","14,010"
"https://www.rentalsegye.com/product.php?no=25600&cid=1377&gid=1424","https://tlpartner.speedycdn.net/data/file/item_code/990098083_QmYlbwPv_logo_coway_391x100.png","https://tlpartner.speedycdn.net/data/file/item_product/990098083_bRY5Ljqd_CHP-7211N_480x480.gif","반값할인","CHP-7211N","[코웨이] 아이콘 정수기2","25,560","0"
"https://www.rentalsegye.com/product.php?no=42268&cid=1377&gid=1424","https://tlpartner.speedycdn.net/data/file/item_code/990098083_RW3hHro1_logo_sk_194x100.png","https://tlpartner.speedycdn.net/data/file/item_product/990098305_yHuNxJmI_ECA09CEBAAA9EC9D84_EC9E85EBA0A5ED95B4ECA3BCEC84B8EC9A94._283329.gif","반값할인","WPU-IAC425S","[SK매직] 원코크 플러스 얼음물 정수기","39,000","13,000"
"https://www.rentalsegye.com/product.php?no=32998&cid=1377&gid=1424","https://tlpartner.speedycdn.net/data/file/item_code/990098083_qZYoMiDH_logo_quming_325x100.png","https://tlpartner.speedycdn.net/data/file/item_product/thumb-2039834054_QLf60pXh_1677735833_psyERJxt_3_224x224.jpg","","HQPM11C","[현대큐밍] 더슬림 마이핏 냉온정수기","19,900","0"
"https://www.rentalsegye.com/product.php?no=19824&cid=1377&gid=1424","https://tlpartner.speedycdn.net/data/file/item_code/990098083_pRQd9fUT_logo_cuckoo_499x100.png","https://tlpartner.speedycdn.net/data/file/item_product/thumb-990098083_akFLoexO_ECA09CEBAAA9EC9D84_EC9E85EBA0A5ED95B4ECA3BCEC84B8EC9A94_-001_-_2025-03-27T154622.671_224x224.png","","CP-U011W/B","[쿠쿠] 인스퓨어 직수정수기","12,900","0"
